user_i,tweet_id,user_j
twitter/399128036,twitter/1298809989486833664,twitter/399128036
twitter/399128036,twitter/1298809989486833664,twitter/399128036
twitter/847562280,twitter/1350980101220036611,twitter/847562280
twitter/847562280,twitter/1350980101220036611,twitter/847562280
twitter/1544498412694806530,twitter/1558704886061080588,twitter/1544498412694806530
twitter/1544498412694806530,twitter/1558704886061080588,twitter/1544498412694806530
twitter/701251718109986816,twitter/1681271548227756032,twitter/705505090531151872
twitter/701251718109986816,twitter/1681271548227756032,twitter/705505090531151872
twitter/15577507,twitter/1703405260512141606,twitter/52468378
twitter/15577507,twitter/1703405260512141606,twitter/52468378
twitter/25282365,twitter/1704162844445692042,twitter/409548427
twitter/25282365,twitter/1704162844445692042,twitter/409548427
twitter/913202969503346688,twitter/1805387974479429790,twitter/913202969503346688
twitter/913202969503346688,twitter/1805387974479429790,twitter/913202969503346688
twitter/1457998356978946053,twitter/1817110285779689945,twitter/1704304318495723521
twitter/1457998356978946053,twitter/1817110285779689945,twitter/1704304318495723521
twitter/1686786892287950848,twitter/1824647342978400292,twitter/793542678377926656
twitter/1686786892287950848,twitter/1824647342978400292,twitter/793542678377926656
twitter/6784722,twitter/1841427129508192291,twitter/6784722
twitter/6784722,twitter/1841427129508192291,twitter/6784722
twitter/1596449132964708354,twitter/1844326839545893116,twitter/1618274101738569729
twitter/1596449132964708354,twitter/1844326839545893116,twitter/1618274101738569729
twitter/2439588188,twitter/1853623896412422506,twitter/2439588188
twitter/2439588188,twitter/1853623896412422506,twitter/2439588188
twitter/1436302916571312139,twitter/1868402387398037739,twitter/17377637
twitter/1436302916571312139,twitter/1868402387398037739,twitter/17377637
twitter/1759855218722799616,twitter/1872059634489704794,twitter/1854076304959905792
twitter/1759855218722799616,twitter/1872059634489704794,twitter/1854076304959905792
twitter/1540583412582567936,twitter/1890572563069235504,twitter/1828520552585158656
twitter/1540583412582567936,twitter/1890572563069235504,twitter/1828520552585158656
twitter/970938104973549568,twitter/1890729427321212951,twitter/970938104973549568
twitter/970938104973549568,twitter/1890729427321212951,twitter/970938104973549568
twitter/1784785800153927680,twitter/1897655978037825782,twitter/1659556481505607681
twitter/1621258295368630272,twitter/1897655978037825782,twitter/1659556481505607681
twitter/1659556481505607681,twitter/1897655978037825782,twitter/1784785800153927680
twitter/1621258295368630272,twitter/1897655978037825782,twitter/1659556481505607681
twitter/1784785800153927680,twitter/1897655978037825782,twitter/1659556481505607681
twitter/1784785800153927680,twitter/1897655978037825782,twitter/1659556481505607681
twitter/1621258295368630272,twitter/1897655978037825782,twitter/1784785800153927680
twitter/1659556481505607681,twitter/1897655978037825782,twitter/1784785800153927680
twitter/15220945,twitter/1904626049100415398,twitter/15220945
twitter/15220945,twitter/1904626049100415398,twitter/15220945
twitter/102628272,twitter/1927611486752448902,twitter/1283409799191752707
twitter/102628272,twitter/1927611486752448902,twitter/1283409799191752707
twitter/2470055959,twitter/1268620623489560576,twitter/824460816
twitter/2470055959,twitter/1268620623489560576,twitter/824460816
twitter/147476095,twitter/1268472606723846144,twitter/943437575028699137
twitter/147476095,twitter/1268472606723846144,twitter/943437575028699137
twitter/1682637075085164544,twitter/1850131648966459716,twitter/1682637075085164544
twitter/1682637075085164544,twitter/1850131648966459716,twitter/1682637075085164544
twitter/1653082575567724544,twitter/1825515285249732821,twitter/1717723905509797888
twitter/1653082575567724544,twitter/1825515285249732821,twitter/1717723905509797888
twitter/701643875304116224,twitter/1929202324066476062,twitter/861727430
twitter/701643875304116224,twitter/1929202324066476062,twitter/861727430
twitter/1079818036000030723,twitter/1780991094987051413,twitter/806321012136640512
twitter/1079818036000030723,twitter/1780991094987051413,twitter/806321012136640512
twitter/1792231432326119424,twitter/1819738154233974897,twitter/1792231432326119424
twitter/1792231432326119424,twitter/1819738154233974897,twitter/1792231432326119424
